frame_idx,match_rank,distance,kl1_sx,kl1_sy,kl1_ex,kl1_ey,kl1_angle,kl1_length,kl2_sx,kl2_sy,kl2_ex,kl2_ey,kl2_angle,kl2_length
2,67,12.0,1650.56,136.60,1918.49,77.25,-0.2180,274.42,1653.31,135.23,1918.57,76.37,-0.2184,271.71
2,68,8.0,1650.80,159.01,1918.40,105.74,-0.1965,272.85,1651.85,158.02,1918.47,104.88,-0.1967,271.86
2,69,17.0,1398.92,569.40,1407.86,296.87,-1.5380,272.68,1399.63,583.22,1410.10,278.06,-1.5365,305.33
2,70,16.0,226.73,131.66,251.83,401.99,1.4782,271.50,231.35,166.81,243.35,296.97,1.4789,130.71
2,71,20.0,253.64,402.06,278.65,668.08,1.4771,267.19,255.07,401.93,297.78,853.28,1.4764,453.36
2,72,17.0,814.64,190.66,824.84,455.61,1.5323,265.14,832.39,636.86,837.99,828.13,1.5415,191.35
2,73,7.0,1600.39,71.10,1847.04,0.00,-0.2806,256.68,1605.47,68.85,1842.54,0.00,-0.2826,246.87
2,74,7.0,1594.94,682.65,1820.86,756.15,0.3145,237.58,1595.46,682.38,1918.51,785.66,0.3094,339.16
2,75,24.0,1690.76,670.15,1918.73,734.74,0.2761,236.94,1630.53,652.22,1918.65,733.78,0.2759,299.44
2,76,11.0,1600.71,67.16,1826.55,0.00,-0.2891,235.61,1604.30,65.36,1824.03,0.00,-0.2891,229.25
2,77,2.0,1578.69,344.46,1589.50,124.32,-1.5217,220.41,1580.44,341.99,1590.90,125.58,-1.5225,216.66
2,78,7.0,816.88,85.35,1033.14,88.14,0.0129,216.28,818.13,84.35,1035.64,86.99,0.0121,217.53
2,79,15.0,278.77,668.18,297.36,869.45,1.4787,202.12,297.46,854.20,311.50,1000.78,1.4753,147.25
2,80,12.0,807.80,0.59,814.65,190.61,1.5347,190.15,808.89,0.60,824.91,431.86,1.5337,431.56
2,81,14.0,406.45,280.55,423.95,469.30,1.4784,189.56,407.67,279.18,425.29,468.16,1.4778,189.79
2,82,4.0,1603.39,55.24,1783.97,0.00,-0.2969,188.84,1603.20,54.61,1780.32,0.00,-0.2991,185.35
2,83,5.0,1386.73,1009.73,1571.17,980.31,-0.1582,186.77,1389.16,1009.30,1573.40,979.86,-0.1584,186.58
2,84,12.0,697.36,276.93,709.68,455.69,1.5020,179.19,698.58,276.84,710.91,455.69,1.5020,179.27
2,85,5.0,610.61,80.15,786.87,83.45,0.0187,176.29,593.09,78.58,788.11,82.45,0.0199,195.06
2,86,12.0,1577.98,982.10,1725.00,1079.07,0.5830,176.12,1579.72,981.95,1724.97,1077.87,0.5836,174.06
2,87,21.0,238.22,550.50,254.25,724.39,1.4789,174.62,216.34,303.18,256.73,731.89,1.4769,430.61
